data,generalisation
what expression would i use to say i love you if i were an italian,id
"can you tell me how to say 'i do not speak much spanish', in spanish",id
"what is the equivalent of, 'life is good' in french",id
"tell me how to say, 'it is a beautiful morning' in italian",id
"if i were mongolian, how would i say that i am a tourist",id
how do i say 'hotel' in finnish,id
"i need you to translate the sentence, 'we will be there soon' into portuguese",id
please tell me how to ask for a taxi in french,id
"can you tell me how i would say, 'more bread please' in french",id
what is the correct way to say 'i am a visitor' in french,id
"how would i say, 'i don't know the answer' in spanish",id
i would like to know the proper way to greet an adult in portuguese,id
what words would i use to tell someone i am lost if i were japanese,id
how would i say thank you if i were russian,id
can you tell me how i would normally say thank you as a french person,id
i would like to know how to say hello in french,id
if i were english how would i say subway,id
i would i say subway if i were english,id
how do you say hi in french,id
in england how do they say subway,id
translate hello in french,id
how is hello said in french,id
what do you call a subway if you were english,id
how would i say if i were english subway,id
how should i say hello in french,id
how could i say twin in chinese,id
how can i say not now in spanish,id
what do spanish people say for the word cow,id
translate hello to english,id
how do you say goodbye in spanish,id
how would i say love in french,id
could you translate atm machine into english,id
please translate grocery into french for me,id
how do germans say goodnight,id
tell me how the russians say notebook,id
how do vietnameses people say hello,id
how do i say thank you in japanese,id
what is latin for i love you,id
how can i thank somebody in italian,id
how do i say you're welcome in chinese,id
translate hello english to french,id
what is hello in french,id
what phrase means goodbye in hawaii,id
what spanish word means hello,id
translate hello to french,id
translate english to french hello,id
what is the word for hello spanish,id
how do they say goodbye in hawaii,id
what's local slang for goodbye in hawaii,id
how do you say hello in french,id
tell me how to say hello in spanish,id
what do i say for goodbye in hawaii,id
translate hello into french for me,id
how do i say hello in french,id
translate for me hello into french,id
how would they say say goodbye in hawaii,id
what is spanish for hello,id
how would i say hello in french,id
how can i say i love you in italy,id
what is spanish for good morning,id
how do you say it's snowing in german,id
how would you say can i borrow five dollars in portuguese,id
do you know how to say where is the restroom in french,id
how would i say pleased to meet you if i were japanese,id
can you translate hello into swedish for me,id
can you translate i love you into french for me,id
can you translate where's the bar into irish for me,id
how would i say goodbye if i were norwegian,id
how would i say i love you if i were french,id
how would i say hello if i were swedish,id
can you translate good bye into russian for me,id
can you translate i have to go pee into korean for me,id
how would i say i'm not guilty if i were mexican,id
how do you say thank you in spanish,id
how does one say thank you in spanish,id
how can i say thank you in spanish,id
what is thank you in spanish,id
what is the way to say thank you in spanish,id
"how do they say ""who is your father"" in german",id
"how do they say ""where's the bathroom"" in spanish",id
"how do they say ""how's it going"" in swahili",id
"how do they say ""i love you"" in japanese",id
"how do they say ""what's up"" in chinese",id
how do you say thank you in german,id
how do you say please in arabic,id
how do you say cat in spanish,id
how do you say i'm hungry in french,id
how do you say i need coffee in dutch,id
how do they say yes in brazil,id
can you translate cat into russian for me,id
can you translate bowl into russian for me,id
how do they say hello in france,id
i wanna know a phrase in spanish,id
can you translate bat into russian for me,id
how do they say no in germany,id
can you translate hi into spanish for me,id
i wanna learn a phrase in russian,id
how do they say hello in germany,id
can you translate milk into spanish for me,id
how do they say hello in brazil,id
i need $20000 transferred from my savings to my checking,id
complete a transaction from savings to checking of $20000,id
transfer $20000 from my savings account to checking account,id
take $20000 from savings and put it in checking,id
put $20000 into my checking account from my savings account,id
send 100 dollars between bank of the west and bank of america acccounts,id
send 50 dollars between bank of america and chase accounts,id
send 2000 dollars between chase and rabobank accounts,id
send 1200 dollars between usaa and navy federal accounts,id
send 400 dollars between city bank and usaa accounts,id
take $40 and transfer it to account a from b,id
transfer $40 from account a to b,id
move $40 from account b to account a,id
put $40 from account a to b,id
take $40 from account a and transfer it to account b,id
i need to transfer from this account to that one,id
need to transfer from one account to my other one,id
i would like to transfer from one account to my second one,id
i need to transfer from one account to my second one,id
i have to transfer from one account to my other one,id
send fifty dollars from me to carrie,id
transfer sixty dollars to dad from my biggest accnt,id
send over a hundred dollars from huntington into saving,id
move 57 dollars from saving into mom,id
transfer two hundred dollars between my portfolio and my money market account,id
i need to transfer ten dollars from my bank of america account to my capital one account,id
go ahead and send ten dollars from bank of america to capital one,id
i must transfer ten dollars from my bank of america account to my capital one account,id
i got to transfer ten dollars from my bank of america account to my capital one account,id
i want you to send ten dollars from bank of america to capital one,id
i need you to send ten dollars from bank of america to capital one,id
i have to transfer ten dollars from my bank of america account to my capital one account,id
send ten dollars from bank of america to capital one,id
please send ten dollars from bank of america to capital one,id
make a transfer of $200 from my savings account to my checking account,id
please transfer $250 from checking to savings,id
transfer $500 from my checking to my savings,id
please transfer $100 from my checking to my savings account,id
transfer $500 from my money market savings account to my checking account,id
send money from one account to another,id
transfer 200 dollars from paypal to savings,id
transfer $10 from checking to savings,id
send $100 from paypal to my bank,id
please transfer 100 dollars between my amazon payments and savings accounts,id
i would like to make a transfer,id
i want to transfer funds between accounts,id
send over 50 dollars between my shared and not shared accounts,id
whats the quickest way to money from one account to another,id
what is the process to move money from one account to another,id
i need you to send 500 dollars from my high tier account to my regular checking account,id
can you transfer money from a to b,id
send my money between accounts,id
how can i send money from one account to another,id
i need to move money from one account to another,id
send $20 from debit to steve's account,id
send 20 dollars from savings to checking,id
please transfer my funds,id
please transfer $50 to my checking account from credit,id
go ahead and move $200 from amazon to my bank account,id
help me move my money,id
i need my money to be moved,id
help me move my money please,id
i need to move my money,id
move my money please,id
i would like to transfer $5 from savings to checking,id
transfer $5 from savings to checking,id
can you transfer $5 from savings to checking,id
send $5 from savings to checking,id
please transfer $5 from savings to checking,id
please switch $s checking to mortage,id
please transfer $s from saving to checking,id
could you transfer $x from saving to checking,id
help me transfer $x from credit to debit,id
please transfer $x from checking to saving,id
transfer money to another account,id
requesting money transfer between accounts,id
transfer money from this account to that account,id
can you transfer money from my account,id
money transfer request,id
send 100 dollars from checking to savings,id
transfer 100 dollars checking to savings,id
transfer 100 dollars between checking and savings,id
take 100 dollars from checking and send it to savings,id
move 100 dollars from checking to savings,id
can we wire some money over to the other account i have,id
time to move some cash from one account to another,id
i need to throw some money into that other account,id
let's send some money to another account,id
i want to initiate a transfer from one account to the other,id
transfer money from one place to another,id
move money from one account to another,id
transfer between two accounts,id
make a transfer between accounts,id
send money to another account,id
i need ten dollars sent from b of a to washington mutual,id
transfer fifty dollars between my chase and bank of america account,id
deposit ten bucks from my chase account to my ally account,id
put a hundred dollars in my ally account from bluebird,id
i want seventy bucks transferred from b of a to chase,id
can i initiate a one-time transfer from my savings account to my money market account,id
please set a 4 minute timer,id
please set a timer for 6 minutes,id
set a timer for 5 minutes,id
i need a 7 minute timer,id
i need to set the timer for two minutes,id
can you set a timer for me for fifteen minutes starting now,id
start the timer now and stop at thirty minutes,id
i would like you to set the timer to go off in ten minutes,id
please set a timer for 40 minutes,id
wake me in an hour,id
please set a timer for cookies,id
i want a timer set,id
remind me in (x) hours,id
set timer for (x) minutes,id
i gotta have a 10 minute timer,id
please set a timer for me,id
i need a 10 minute timer,id
i wish to have a 10 minute timer,id
i really need to set a timer,id
set a new timer for ten seconds,id
set a timer for me,id
i want a 10 minute timer,id
i gotta set a timer,id
set a 10 minute timer,id
set a brand new timer for eight seconds,id
set a ten second timer,id
i must set a timer,id
set a timer for twelve seconds,id
set a timer for fifteen seconds,id
tell me when two minutes are up,id
start a timer for two minutes,id
set a timer for two minutes,id
start counting down from two minutes,id
can you set a timer for two minutes,id
please set 5 minute timer,id
can u please set the timer for 5 minutes,id
set timer of 5 minutes,id
can u set a timer for 5 minutes,id
set a one hour timer,id
please set a timer for 20 minutes,id
set a five minute timer please,id
set a timer for two hours,id
can you set a two hour timer,id
set the timer for me please,id
you need to set the timer for me,id
i need you to set timer for me,id
please set the timer for me,id
i would like a timer set,id
can you set a timer,id
i need you to set a time,id
i need a timer set for 15 minutes,id
start a countdown for 20 minutes,id
set a timer for 15 minutes,id
i'll need you to set a timer for 10 minutes,id
let's get a timer set for 5 minutes,id
set a timer for 35 minutes,id
please start counting down from 10 minutes,id
let's get a timer going for 10 minutes,id
i need a timer for 20 seconds,id
timer 5 minutes,id
alert me in 20 minutes,id
give me a 10 minute countdown,id
let me know in 15 minutes please,id
"i'm cooking an egg, timer for 3 mins",id
10 minute timer,id
start a timer for 10 minutes,id
timer 10 minutes,id
count down 10 minutes,id
make up a timer for me,id
create a timer for me,id
can you set a timer for me,id
i need to set a timer,id
set up a timer,id
could you start a timer for me,id
lets set a timer for me,id
please run a timer for me,id
set a one minute timer,id
set a five minute timer,id
set a seven minute timer,id
start a timer for me,id
set a four minute timer,id
set a six minute timer,id
how do i set a timer,id
i want a timer for 5 minutes,id
timer for 5 minutes,id
set a timer to go off in 5 minutes,id
set timer for 5 minutes,id
i want to set a timer,id
make a timer for 5 minutes,id
please set a timer for,id
remind me that time is up in sixty minutes,id
set an alarm for nine minutes from now,id
tell me when ninety minutes have passed,id
please set timer for 4 pm,id
want 5 minute timer,id
set 30 minute timer,id
get a 3 minute timer,id
"please, can you set the timer for me",id
can you please the timer,id
will you set the timer,id
what is the meaning of realism,id
what is regard mean,id
what is the meaning of interorganizational,id
what is it is all relative mean,id
what is intercontinental mean,id
what is the meaning of supercede,id
what is let it be mean,id
what is the definition of incomprehensible,id
what is the meaning of stupendous,id
what is the definition of intelligent,id
what is good riddance mean,id
what is break a leg mean,id
what is the meaning of hyperactive,id
what is the definition of valor,id
what is stupedous meant,id
find the meaning of qat,id
what the heck is qat,id
define qat for me,id
read me a definition for qat,id
look up qat please,id
what might the meaning of altruism be,id
exactly what does altruism mean,id
what does altruism mean,id
what is the definition of altruism,id
what is the meaning of altruism,id
affiliate's definition is what,id
the definition of affiliate is,id
what's the meaning of affiliate,id
what's affiliate definition,id
definition of affiliate is what,id
whats the definition of poor,id
"describe the meaning of ""dog",id
"what does ""money"" mean",id
tell me what the word die means,id
what is the definition of succumb,id
what is the meaning of telepathy,id
what does tertiary mean,id
tell me the definition of the word redemption,id
what is the meaning of the word lux,id
what is an ataraxy,id
what does the word ataraxy mean,id
what does ataraxy mean,id
use the word ataraxy in a sentence,id
define ataraxy,id
what does discretionary mean,id
define discretionary,id
i want to know the definition of discretionary,id
can you give the definition of deiscretionary,id
let's hear the definition of iridium,id
what's the definition of analogy,id
can you tell me the definition of sucrose,id
definition of anachronism,id
what's the definition of patriarchy,id
can you tell me the definition of yttrbium,id
please share the definition of episcopalian,id
what does saffron mean,id
define sonogram,id
define thoroughbred,id
what's the meaning of a fortnight,id
what is an anachronism,id
what's the meaning of emulsify,id
tell me what cyst means,id
what is the definition of flange,id
tell me what flange means,id
define flange,id
flange means what,id
what is the meaning of flange,id
"what does ""rescind"" mean",id
"what is the meaning of word ""rescind",id
"is ""rescind"" a word of positive connotation",id
"where i can use word ""rescind",id
read me the definition of ajar,id
what does ajar mean,id
can you show me the dictionary definition of ajar,id
tell me what monstrosity means,id
give me the definition of ajar,id
what is the definition of didactic,id
i need to know what adumbrate means can you look it up for me now,id
i want to know what the word discomfit means,id
find what the word diaphanous mean please,id
do you know what calumny means  please look it up for me,id
find out what the word abrogate means for me,id
tell me what edict means,id
what does the word abjure mean,id
can you tell me what dirge means,id
tell me what the word arboreal means,id
whats the definition of transmute,id
what is the meaning of the word slander,id
what is meant by defense,id
tell me what the word bounty means,id
what does deceive mean,id
define zesty,id
look up zesty in dictionary,id
definition of zesty,id
what is the definition of zesty,id
what does zesty mean,id
tell me what alternative means,id
what does alternative mean,id
give me the meaning of alternative,id
tell me the meaning of alternative,id
does life have meaning,id
is being alive the meaning of life,id
what is the real meaning of life,id
what is the answer to the meaning of life,id
is there really an answer to the meaning of life,id
does life have a meaning,id
who can tell me if there's any meaning to life,id
what makes life have any meaning,id
why do you think we're here,id
what's the answer to existence,id
what's the point of sentience,id
what's the purpose of existence,id
what's the purpose of life,id
what's the point of this dumpster fire known as life,id
what is life's meaning,id
is there a greater purpose in life,id
what is our purpose in life,id
how is life in existence,id
what's lifes meaning,id
what exactly is the meaning of life,id
whats lifes meaning exactly,id
what's the meaning of this life,id
what is the meaning of life here,id
does my life have meaning,id
i wish to know the meaning of life,id
i wanna know the meaning of life,id
i wanna know the point of life,id
i need to know the point of life,id
i must know the point of life,id
tell the meaning of life,id
i gotta know the meaning of life,id
what is your take on the meaning of life,id
tell me what is the purpose of life,id
what meaning does life hold,id
what do you think is the meaning of like,id
how do i find the meaning of life,id
what is the purpose of exsistance,id
what is your version on the meaning of life,id
what is your explanation for the meaning of life,id
what is the purpose of creation,id
can you figure out the meaning of life,id
whats your take on the meaning of life,id
can you explain the meaning of life to me,id
what is life all about,id
can you explain the meaning of life,id
"what's the point of life, anyways",id
the meaning of life please,id
the meaning of life,id
i'd like to me told the meaning of life,id
do you know the meaning of life,id
say what the meaning of life is,id
can you tell me life's meaning,id
what's the meaning of my life,id
what is the underlying purpose to life,id
what do you think about the meaning of life,id
what is lifeüs meaning,id
help me figure out the meaning of life,id
"would you tell me the meaning of life, please",id
"could you tell me the meaning of life, please",id
can you tell me the meaning of life,id
could you tell me the meaning of life,id
"can you tell me the meaning of life, please",id
what does life mean to you,id
is there really a meaning of life,id
is there any meaning to being alive,id
what is the meaning of my life,id
what is the point of life,id
what's the point of everything,id
is there a meaning to life,id
why are we here in life,id
can you share the meaning of life,id
research the meaning of life,id
can you tell me what you think the meaning of life is,id
what is our purpose here on earth,id
is love the meaning of life,id
is there a reason people exist,id
what is the secret or meaning to life,id
what does life mean on a deeper level,id
how would you put what life is all about,id
how would you describe what life means,id
what do people say life means or the meaning is,id
life has what meaning or what's the secret to it,id
where is there meaning in life,id
what is the meaning of this life,id
do you know what the meaning of life is,id
what's life's meaning,id
"does life have a meaning, according to you",id
does this life have a meaning,id
can you share with me your interpretation of the meaning of life,id
what do you think is the meaning of life,id
is there a meaning in life,id
i wonder if you can explain the meaning of life,id
"i always wonder about the meaning of life, can you tell me",id
what's my meaning in life,id
define the meaning of life,id
meaning of life is,id
what is your perception of the meaning of life,id
whats the meaning of life,id
what do you think the meaning of life is,id
what is behind life's meaning,id
how to create a new aaa insurance plan,id
website to start aaa new insurance plan,id
aaa insurance start new plan,id
i want to start a new aaa insurance plan,id
is new this a good insurance plan for me,id
what do i do to get new insurance,id
new insurance is obtainable how,id
how is new insurance gotten,id
what do i do for new insurance,id
"how do i get new insurance, please",id
how can i obtain new insurance,id
"how can i obtain new insurance, please",id
"how can i get new insurance, please",id
how do i make my insurance policy different,id
how do i change my insurance policy,id
how do i modify my insurance policy,id
how do i alter my insurance policy,id
how do i get different terms on my insurance policy,id
help me change my insurance plan,id
i would like a new insurance plan,id
connect me with some new insurance,id
i need a newer insurance plan,id
my insurance plan needs to be changed,id
what rental insurance policy do you recommend,id
help me find a new auto insurance policy,id
find the best life insurance for me,id
i need new home owners insurance,id
i need new health care coverage,id
how do i change my current insurance to a new plan with lower co-pay,id
what steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan,id
i need to change my insurance to a plan with a lower deductible,id
how do i go about changing my insurance to a new low monthly premium plan,id
i would like to change my insurance from a ppo to an hmo plan,id
help me figure out getting new insurance,id
i would like to get a new insurance plan,id
i want help adjusting my insurance policy,id
i am hoping to switch insurance plans,id
i need help acquiring new insurance,id
walk me through the process of getting new insurance,id
i am interested in acquiring new insurance,id
how can i acquire new insurance,id
what must i do if i want to adjust my insurance policy,id
what is the protocol for modifying my insurance policy,id
i dont like my current insurance plan and want a new one,id
walk me through making changes to my insurance policy,id
i need new insurance but dont know how to get it,id
i am thinking of switching to a different insurance plan,id
help me modify my insurance policy,id
could you help me out with a new renters' insurance plan,id
i'd like a new life insurance plan,id
can you help me with a new car insurance plan,id
i need to get a new motorcycle insurance plan,id
can i get a new pet insurance plan,id
where do i go to get new insurance,id
"i need new insurance, how do i get it",id
how do i apply for new insurance,id
i would like you to help me get on another united healthcare insurance plan,id
can you help me get on a new united healthcare insurance plan,id
i want to find a new united healthcare plan to get on,id
i'd like to get on a new united healthcare plan,id
i need to get on a new united healthcare insurance plan,id
help make changes to my insurance policy,id
i must switch to a new insurance plan,id
i need help to make changes to my insurance policy,id
i gotta switch to a new insurance plan,id
help me make changes to my insurance policy,id
i need to switch to a new insurance plan,id
i really need to switch to a new insurance plan,id
i would like to make changes to my insurance policy,id
i need to make changes to my insurance policy,id
i shall switch to a new insurance plan,id
how do i update my insurance,id
how can i get new insurance,id
how can i find out about new insurance,id
i need to find new insurance,id
"i need to get new insurance, how do i do it",id
can you switch me to a new insurance plan,id
i would like to switch to a different insurance plan,id
help me switch to a new insurance plan,id
switch my insurance plan to a new one,id
what are my options for new insurance plans,id
i want to shop for new insurance plans,id
